case,suite,status,eligible,database_mode,backend_name,backend_version,mode,tp_size,pp_size,attention_dp_size,moe_tp_size,moe_ep_size,ctx_tokens,ttft_ms,tpot_ms,request_latency_ms,tokens_s,memory_gb,gpus,concurrency,kv_cache_warning,error
estimates/baseline,estimates,ok,True,SILICON,vllm,0.24.0,agg,16,1,1,1,16,1000,430.8203750656867,33.313558747078226,33711.06556339683,29.634186380768256,100.0937819480896,16,1,,
estimates/vllm-tp16,estimates,ok,True,SILICON,vllm,0.24.0,agg,16,1,1,16,1,1000,415.26290212142703,30.838832284714027,31223.25635455074,31.995381540477833,100.0937819480896,16,1,,
estimates/sglang-tp16,estimates,ok,True,SILICON,sglang,0.5.14,agg,16,1,1,16,1,1000,761.5917110062358,27.200925237444455,27935.316023213247,36.22904320341086,100.92324442863465,16,1,,
parallelism/vllm-tp16-pp1-ep1,parallelism,ok,True,SILICON,vllm,0.24.0,agg,16,1,1,16,1,1000,415.26290212142703,30.838832284714027,31223.25635455074,31.995381540477833,100.0937819480896,16,1,,
parallelism/vllm-tp16-pp1-ep2,parallelism,error,False,SILICON,vllm,0.24.0,agg,16,1,1,8,2,1000,,,,,,,,,"PerfDataNotAvailableError: perf database error: MoE data missing for MoeKey { quant: ""w4a16_mxfp4"", distribution: ""power_law_1.01"", topk: 16, num_experts: 896, hidden_size: 3584, inter_size: 3072, moe_tp_size: 8, moe_ep_size: 2 } at /Users/mimehta/aiconfigurator/.venv/lib/python3.12/site-packages/aiconfigurator_core/systems/data/h200_sxm/vllm/0.24.0"
parallelism/vllm-tp16-pp1-ep4,parallelism,error,False,SILICON,vllm,0.24.0,agg,16,1,1,4,4,1000,,,,,,,,,"PerfDataNotAvailableError: perf database error: MoE data missing for MoeKey { quant: ""w4a16_mxfp4"", distribution: ""power_law_1.01"", topk: 16, num_experts: 896, hidden_size: 3584, inter_size: 3072, moe_tp_size: 4, moe_ep_size: 4 } at /Users/mimehta/aiconfigurator/.venv/lib/python3.12/site-packages/aiconfigurator_core/systems/data/h200_sxm/vllm/0.24.0"
parallelism/vllm-tp16-pp1-ep8,parallelism,error,False,SILICON,vllm,0.24.0,agg,16,1,1,2,8,1000,,,,,,,,,"PerfDataNotAvailableError: perf database error: MoE data missing for MoeKey { quant: ""w4a16_mxfp4"", distribution: ""power_law_1.01"", topk: 16, num_experts: 896, hidden_size: 3584, inter_size: 3072, moe_tp_size: 2, moe_ep_size: 8 } at /Users/mimehta/aiconfigurator/.venv/lib/python3.12/site-packages/aiconfigurator_core/systems/data/h200_sxm/vllm/0.24.0"
parallelism/vllm-tp16-pp1-ep16,parallelism,ok,True,SILICON,vllm,0.24.0,agg,16,1,1,1,16,1000,430.8203750656867,33.313558747078226,33711.06556339683,29.634186380768256,100.0937819480896,16,1,,
parallelism/vllm-tp8-pp2-ep1,parallelism,ok,False,SILICON,vllm,0.24.0,agg,8,2,1,8,1,1000,349.54389164318945,20.889054449504133,21217.709286697816,94.16662152368265,94.83037090301514,16,2,,
parallelism/vllm-tp8-pp2-ep2,parallelism,error,False,SILICON,vllm,0.24.0,agg,8,2,1,4,2,1000,,,,,,,,,"PerfDataNotAvailableError: perf database error: MoE data missing for MoeKey { quant: ""w4a16_mxfp4"", distribution: ""power_law_1.01"", topk: 16, num_experts: 896, hidden_size: 3584, inter_size: 3072, moe_tp_size: 4, moe_ep_size: 2 } at /Users/mimehta/aiconfigurator/.venv/lib/python3.12/site-packages/aiconfigurator_core/systems/data/h200_sxm/vllm/0.24.0"
